Date,Close
12/2/2019,612.4
12/3/2019,613.8
12/4/2019,621.4
12/5/2019,625
12/6/2019,625.2
12/9/2019,630.2
12/10/2019,643.6
12/11/2019,654.4
12/12/2019,648.8
12/13/2019,653.8
12/16/2019,664
12/17/2019,666
12/18/2019,669.4
12/19/2019,665.8
12/20/2019,674.8
12/23/2019,679.2
12/27/2019,691
12/30/2019,689
1/2/2020,681
1/3/2020,677.4
1/6/2020,670.2
1/7/2020,662
1/8/2020,645
1/9/2020,645.8
1/10/2020,652.8
1/13/2020,659.6
1/14/2020,664.6
1/15/2020,684.6
1/16/2020,686
1/17/2020,695.4
1/20/2020,706.4
1/21/2020,700.4
1/22/2020,716.4
1/23/2020,729.4
1/24/2020,749.6
1/27/2020,737
1/28/2020,743
1/29/2020,748
1/30/2020,727.4
1/31/2020,736
2/3/2020,736.2
2/4/2020,719
2/5/2020,715
2/6/2020,716.6
2/7/2020,726
2/10/2020,729.2
2/11/2020,735
2/12/2020,725.2
2/13/2020,727.6
2/14/2020,743
2/17/2020,743.4
2/18/2020,764.2
2/19/2020,771.2
2/20/2020,761
2/21/2020,769.8
2/24/2020,735.6
2/25/2020,719.6
2/26/2020,732
2/27/2020,709.8
2/28/2020,695.4
3/2/2020,709
3/3/2020,718
3/4/2020,757.4
3/5/2020,755.2
3/6/2020,715.2
3/9/2020,682
3/10/2020,652.6
3/11/2020,632.6
3/12/2020,575.8
3/13/2020,592
3/16/2020,579.6
3/17/2020,619.2
3/18/2020,591
3/19/2020,574.4
3/20/2020,606.4
3/23/2020,601.8
3/24/2020,627
3/25/2020,670.8
3/26/2020,685.4
3/27/2020,659.6
3/30/2020,675
3/31/2020,666.4
4/1/2020,648.8
4/2/2020,644.8
4/3/2020,645
4/6/2020,641.2
4/7/2020,648.6
4/8/2020,654.6
4/14/2020,689
4/15/2020,680
4/16/2020,681.6
4/17/2020,687.8
4/20/2020,687.6
4/21/2020,690.4
4/22/2020,700
4/23/2020,716
4/24/2020,713.4
4/27/2020,708.2
4/28/2020,710
4/29/2020,705.2
4/30/2020,688.4
5/1/2020,685
5/4/2020,675
5/5/2020,683.8
5/6/2020,690.2
5/7/2020,696
5/11/2020,698.4
5/12/2020,705.2
5/13/2020,724.8
5/14/2020,716
5/15/2020,705.2
5/18/2020,731.6
5/19/2020,726.4
5/20/2020,741.6
5/25/2020,764.4
5/26/2020,766
5/27/2020,751.2
5/28/2020,761.2
5/29/2020,786.8
6/2/2020,779.6
6/3/2020,787
6/4/2020,777.6
6/8/2020,757.4
6/9/2020,748.8
6/10/2020,765
6/11/2020,746
6/12/2020,749.2
6/15/2020,752.2
6/16/2020,741.8
6/17/2020,745.2
6/18/2020,753.2
6/19/2020,753.8
6/22/2020,777.4
6/23/2020,776.2
6/24/2020,761.8
6/25/2020,761.6
6/26/2020,756.2
6/29/2020,770.4
6/30/2020,765.4
